Date,Process,Product,Shift,Team,Target_Units,Actual_Units,Cycle_Time_Min,Waiting_Time_Min,Downtime_Min,Defects,Rework_Units,Quality_Units,Defect_Rate_%,Productivity_%,Lead_Time_Min,Availability_%
2026-03-14,Inspection,Product B,Morning,Team C,109,113,10.75,8.36,5.89,1,0,112,0.88,103.67,19.11,97.06
2026-03-08,Assembly,Product C,Morning,Team A,113,87,28.88,25.49,32.8,4,2,81,4.6,76.99,54.37,83.6
2026-02-20,Packaging,Product A,Morning,Team D,106,106,6.35,1.58,7.68,0,0,106,0.0,100.0,7.93,96.16
2026-03-21,Inspection,Product A,Evening,Team A,115,111,12.37,0.63,13.11,0,0,111,0.0,96.52,13.0,93.44
2026-01-12,Cutting,Product C,Evening,Team A,90,85,9.71,0.0,20.71,0,0,85,0.0,94.44,9.71,89.64
2026-03-24,Packaging,Product B,Morning,Team A,81,78,9.36,0.0,0.0,1,0,77,1.28,96.3,9.36,100.0
2026-03-18,Inspection,Product B,Morning,Team B,84,84,11.59,2.75,11.84,1,1,82,1.19,100.0,14.34,94.08
2026-02-15,Inspection,Product B,Night,Team C,120,106,14.52,14.04,21.16,0,0,106,0.0,88.33,28.56,89.42
2026-03-08,Cutting,Product A,Morning,Team B,106,108,10.48,0.24,4.58,1,1,106,0.93,101.89,10.72,97.71
2026-02-16,Assembly,Product B,Evening,Team A,90,87,20.74,12.7,25.59,1,0,86,1.15,96.67,33.44,87.2
2026-01-25,Assembly,Product A,Evening,Team A,115,90,24.6,12.42,18.67,4,2,84,4.44,78.26,37.02,90.66
2026-03-13,Packaging,Product A,Morning,Team D,92,83,9.52,2.24,15.46,2,4,77,2.41,90.22,11.76,92.27
2026-01-23,Inspection,Product B,Morning,Team D,104,91,12.81,13.29,7.91,0,0,91,0.0,87.5,26.1,96.04
2026-01-29,Packaging,Product B,Morning,Team D,90,92,8.05,6.65,19.19,0,0,92,0.0,102.22,14.7,90.4
2026-02-16,Assembly,Product C,Night,Team A,83,63,27.62,22.57,36.08,1,1,61,1.59,75.9,50.19,81.96
2026-03-17,Cutting,Product A,Morning,Team D,90,93,10.48,3.16,15.17,0,0,93,0.0,103.33,13.64,92.42
2026-02-04,Assembly,Product A,Morning,Team C,89,71,21.05,14.98,24.21,2,2,67,2.82,79.78,36.03,87.9
2026-02-14,Cutting,Product C,Morning,Team C,102,103,11.23,6.31,8.82,0,0,103,0.0,100.98,17.54,95.59
2026-01-04,Packaging,Product A,Morning,Team A,80,75,12.73,6.34,3.5,1,0,74,1.33,93.75,19.07,98.25
2026-01-11,Inspection,Product A,Evening,Team D,89,83,10.05,4.37,12.71,1,1,81,1.2,93.26,14.42,93.64
2026-01-06,Inspection,Product A,Morning,Team B,103,94,14.69,8.15,13.91,0,0,94,0.0,91.26,22.84,93.04
2026-01-07,Assembly,Product B,Evening,Team A,96,74,21.74,13.61,18.46,2,0,72,2.7,77.08,35.35,90.77
2026-03-20,Packaging,Product C,Evening,Team A,106,114,9.48,4.85,6.25,0,1,113,0.0,107.55,14.33,96.88
2026-03-17,Packaging,Product B,Evening,Team B,106,101,12.47,7.05,3.34,0,0,101,0.0,95.28,19.52,98.33
2026-03-15,Inspection,Product B,Morning,Team A,119,115,14.08,6.88,25.8,0,0,115,0.0,96.64,20.96,87.1
2026-01-06,Cutting,Product A,Night,Team B,114,102,14.13,16.33,11.78,0,1,101,0.0,89.47,30.46,94.11
2026-01-07,Assembly,Product A,Evening,Team B,89,68,21.42,17.85,39.25,2,0,66,2.94,76.4,39.27,80.38
2026-01-26,Cutting,Product B,Morning,Team D,108,103,11.07,5.87,7.83,1,2,100,0.97,95.37,16.94,96.08
2026-02-20,Cutting,Product A,Evening,Team A,105,108,10.45,4.86,10.56,1,0,107,0.93,102.86,15.31,94.72
2026-01-31,Inspection,Product A,Night,Team C,104,95,13.53,11.39,6.67,0,0,95,0.0,91.35,24.92,96.66
2026-02-13,Inspection,Product A,Morning,Team D,112,103,12.36,7.54,9.32,0,0,103,0.0,91.96,19.9,95.34
